Term	POS1	POS2	POS3	POS4		Anger	Disgust	Fear	Happiness	Sadness	Surprise	Polarity1	Polarity2	Polarity3	Polarity4	Polarity_Avg	Emotion_Affected_Polarity	Normalized_Polarity
μαμμωνάς	NOUN	NOUN	NOUN	NOUN		2.0	3.25	1.25	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.46	-2.85
μαμόθρεφτος	ADJ	ADJ	ADJ	ADJ		2.25	3.0	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.41	-2.74
μαμουνιάρης	NOUN	NOUN	NOUN	NOUN		2.33	3.33	1.33	1.0	1.0	2.33	-1	0	-1	-1	-0.75	-1.23	-2.36
μανδαρίνος	NOUN	NOUN	NOUN	NOUN		1.75	2.75	1.0	1.0	1.0	1.5	-1	-1	-1	-1	-1.0	-1.38	-2.68
μανία	NOUN	NOUN	NOUN	NOUN		3.25	1.5	1.5	2.5	1.0	2.5	-1	-0.5	-1	-0.5	-0.75	-0.85	-1.55
μανιερισμός	NOUN	NOUN	NOUN	NOUN		1.0	3.0	1.0	1.0	1.0	1.5	-1	0	-1	0	-0.5	-0.82	-1.48
μανίκι	NOUN	NOUN	NOUN	NOUN		1.5	2.5	1.0	1.0	1.0	3.5	-1	0	-1	0	-0.5	-0.72	-1.27
μαντεύω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	1.0	1.0	2.0	0	0	0	0	0.0	-0.1	0.05
μάντης	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.33	1.33	1.0	2.67	-1	0	-1	-0.5	-0.62	-0.75	-1.33
μάντισσα	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.33	1.33	1.0	2.67	-1	0	-1	-0.5	-0.62	-0.75	-1.33
μαντραχαλάς	NOUN	NOUN	NOUN	NOUN		1.67	2.67	2.33	1.0	1.0	3.0	-1	0	-1	-1	-0.75	-1.17	-2.23
μαντράχαλος	NOUN	NOUN	NOUN	NOUN		1.67	2.67	2.33	1.0	1.0	3.0	-1	0	-1	-1	-0.75	-1.17	-2.23
μαντρόσκυλο	NOUN	NOUN	NOUN	NOUN		2.75	3.0	2.5	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.62	-3.19
μαούνα	NOUN	NOUN	NOUN	NOUN		2.33	3.33	1.67	1.0	1.0	3.0	-1	-1	-1	0	-0.75	-1.23	-2.36
μάπας	NOUN	NOUN	NOUN	NOUN		2.0	3.0	1.0	1.0	1.5	2.25	-1	-1	-1	-1	-1.0	-1.44	-2.81
μαρμαρώνω	VERB	VERB	VERB	VERB		1.0	1.67	4.33	1.0	1.0	5.0	-1	-1	-1	0	-0.75	-1.1	-2.08
μασκαράς	NOUN	NOUN	NOUN	NOUN		1.5	3.0	1.0	2.5	1.0	2.75	-0.5	-1	-1	-0.5	-0.75	-0.76	-1.35
μασονία	NOUN	NOUN	NOUN	NOUN		2.33	3.0	2.67	1.0	1.0	2.33	-1	0	-1	-1	-0.75	-1.33	-2.57
μασόνος	NOUN	NOUN	NOUN	NOUN		2.67	3.33	2.67	1.0	1.0	2.33	-1	0	-1	-1	-0.75	-1.4	-2.72
μαστάρι	NOUN	NOUN	NOUN	NOUN		1.33	3.33	1.0	1.33	1.0	2.33	-1	0	-1	-1	-0.75	-1.03	-1.93
μαστρο-	N/A	N/A	OTHER	N/A		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μαστροχαλαστής	NOUN	NOUN	NOUN	NOUN		1.75	2.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.27	-2.44
ματάκιας	NOUN	NOUN	NOUN	NOUN		2.25	3.25	1.75	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.51	-2.95
μαυροτσούκαλο	NOUN	NOUN	NOUN	NOUN		1.25	2.5	1.25	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.3	-2.51
μαυροφορούσα	NOUN	NOUN	NOUN	NOUN		1.0	3.0	1.5	1.0	1.0	3.0	-1	0	-1	0	-0.5	-0.8	-1.44
μαφία	NOUN	NOUN	NOUN	NOUN		3.0	2.67	3.33	1.0	1.0	3.0	-1	0	-1	-1	-0.75	-1.4	-2.72
μαφιόζικος	ADJ	ADJ	ADJ	ADJ		3.0	2.67	3.33	1.0	1.0	3.0	-1	0	-1	-1	-0.75	-1.4	-2.72
μαφιόζος	NOUN	NOUN	NOUN	NOUN		3.0	2.67	3.33	1.0	1.0	3.0	-1	0	-1	-1	-0.75	-1.4	-2.72
μεγαλόσχημος	ADJ	ADJ	ADJ	ADJ		1.5	3.0	1.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-0.85	-1.55
μεγαλουσιάνος	ADJ	NOUN	ADJ	NOUN		2.0	2.5	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.35	-2.61
μεδούλι	NOUN	NOUN	NOUN	NOUN		1.0	1.0	3.0	1.0	2.0	2.0	-1	0	0	0	-0.25	-0.65	-1.12
μέθη	NOUN	NOUN	NOUN	NOUN		1.25	1.25	1.0	3.75	1.25	2.25	0.5	1	1	1	0.88	1.27	2.98
μεθοκοπώ	VERB	VERB	VERB	VERB		1.5	2.75	1.25	1.5	1.0	2.25	-1	-1	-1	-0.5	-0.88	-1.12	-2.12
μεθυσμένος -η -ο	PART	PART	PART	PART		2.0	2.5	1.5	1.5	1.0	3.5	-0.5	0	-1	0	-0.38	-0.6	-1.01
μεθύστακας	NOUN	NOUN	NOUN	NOUN		2.0	3.25	2.0	1.0	1.5	2.25	-1	-1	-1	-1	-1.0	-1.56	-3.06
μεθυστικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.0	1.0	2.5	1	1	1	1	1.0	1.52	3.51
μεθώ	VERB	VERB	VERB	VERB		1.33	2.33	1.0	3.33	1.0	3.0	0.5	1	0.5	0	0.5	0.75	1.87
μείγμα	NOUN	NOUN	NOUN	NOUN		1.0	2.5	1.0	1.5	1.0	2.5	0	0	0	0	0.0	-0.12	0.01
μείον	ADV	ADV	ADV	ADV		1.0	2.5	1.0	1.0	2.0	2.0	-1	0	-1	0	-0.5	-0.85	-1.55
μειονεκτικότητα	NOUN	NOUN	NOUN	NOUN		1.0	1.75	1.0	1.0	2.0	1.25	-1	-1	-1	-1	-1.0	-1.31	-2.53
μελαγχολία	NOUN	NOUN	NOUN	NOUN		1.0	1.5	1.0	1.0	3.25	1.5	-1	-1	-1	-1	-1.0	-1.4	-2.72
μελαγχολικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.5	1.0	1.0	3.25	1.5	-1	-1	-1	-1	-1.0	-1.4	-2.72
μελό	NOUN	NOUN	NOUN	NOUN		1.0	2.67	1.0	1.0	2.0	2.0	-1	0	-1	-1	-0.75	-1.12	-2.12
μελοδραματισμός	NOUN	NOUN	NOUN	NOUN		1.0	3.0	1.0	1.0	1.67	1.67	-1	0	-1	-1	-0.75	-1.13	-2.14
μεξιοβάρβαρος	NOUN	NOUN	NOUN	NOUN		3.0	4.0	1.0	1.0	1.0	3.0	0	0	-1	0	-0.25	-0.8	-1.44
μεράκι	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	4.0	1.0	2.75	1	1	1	1	1.0	1.54	3.55
μερακλώνω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	4.25	1.0	3.0	1	1	1	1	1.0	1.6	3.68
μεταμελούμαι	VERB	VERB	VERB	VERB		1.0	1.0	1.33	1.0	3.0	1.33	-1	-1	0	-1	-0.75	-1.12	-2.12
μετανοώ	VERB	VERB	VERB	VERB		1.0	1.0	1.33	1.33	3.33	1.33	-1	-1	0	-1	-0.75	-1.08	-2.04
μετείκασμα	NOUN	NOUN	NOUN	NOUN		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μέτρο	NOUN	NOUN	NOUN	NOUN		4.0	2.0	1.0	1.0	1.0	2.0	0	0	0	0	0.0	-0.5	-0.8
μικροαστός	NOUN	NOUN	NOUN	NOUN		2.0	2.33	1.0	1.0	1.0	2.33	-1	0	-1	-1	-0.75	-1.07	-2.02
μικρομέγαλος	ADJ	ADJ	ADJ	ADJ		2.33	2.33	1.0	1.0	1.67	2.67	-1	0	-1	-1	-0.75	-1.15	-2.19
μικροπρεπής -ής -ές	ADJ	ADJ	ADJ	ADJ		2.67	3.0	1.0	1.0	1.0	2.33	-1	0	-1	-1	-0.75	-1.2	-2.29
μικρότητα	NOUN	NOUN	NOUN	NOUN		2.67	3.0	1.0	1.0	1.0	2.67	-1	0	-1	-1	-0.75	-1.18	-2.25
μιλώ	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μισάνθρωπος -η -ο	ADJ	ADJ	ADJ	ADJ		2.25	3.0	1.75	1.0	1.25	2.0	-1	-1	-1	-1	-1.0	-1.52	-2.98
μισθοφόρος	NOUN	NOUN	NOUN	NOUN		1.0	3.5	1.5	1.0	1.0	2.0	-1	0	-1	0	-0.5	-0.9	-1.65
μίσος	NOUN	NOUN	NOUN	NOUN		3.75	3.25	2.25	1.0	1.0	2.5	-1	-1	-1	-1	-1.0	-1.7	-3.36
μισώ	VERB	VERB	VERB	VERB		3.75	3.5	2.25	1.0	1.0	2.5	-1	-1	-1	-1	-1.0	-1.73	-3.42
μνημείο	NOUN	NOUN	NOUN	NOUN		1.0	1.5	1.0	2.5	1.0	4.0	1	0	0.5	0	0.38	0.63	1.61
μνημειώδης	ADJ	ADJ	ADJ	ADJ		1.0	1.33	1.0	2.67	1.0	3.33	0.5	0	0.5	1	0.5	0.77	1.91
μνησικακία	NOUN	NOUN	NOUN	NOUN		3.75	2.75	1.75	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.61	-3.17
μνησικακώ	VERB	VERB	VERB	VERB		3.75	2.75	1.75	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.61	-3.17
μοιράζω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μόμολο	NOUN	NOUN	NOUN	NOUN		2.25	3.25	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.45	-2.83
μονάζω	VERB	VERB	VERB	VERB		1.0	2.5	1.0	1.0	1.0	3.5	-1	0	-1	0	-0.5	-0.67	-1.16
μοναξιά	NOUN	NOUN	NOUN	NOUN		1.0	1.67	2.0	1.0	2.33	2.33	-1	0	-1	-1	-0.75	-1.13	-2.14
μοναρχοφασίστας	NOUN	NOUN	NOUN	NOUN		4.0	3.75	2.25	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.79	-3.55
μονιμάς	NOUN	NOUN	NOUN	NOUN		2.0	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.4	-2.72
μόνος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	2.5	2.0	1.0	1.0	3.5	-1	0	-1	0	-0.5	-0.78	-1.4
μορμολύκειο	NOUN	NOUN	NOUN	NOUN		1.75	3.5	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.43	-2.78
μορφασμός	NOUN	NOUN	NOUN	NOUN		1.0	3.33	1.0	1.0	1.0	2.67	-1	0	-1	-1	-0.75	-1.05	-1.97
μουγγός -ή -ό	ADJ	ADJ	ADJ	ADJ		2.0	2.0	1.67	1.0	1.0	4.33	-1	-1	-1	0	-0.75	-1.0	-1.87
μουδιάζω	VERB	VERB	VERB	VERB		1.0	2.0	3.67	1.0	1.33	3.0	-1	-1	-1	0	-0.75	-1.2	-2.29
μουλάρα	NOUN	NOUN	NOUN	NOUN		4.0	3.75	1.0	1.0	1.0	2.5	-1	-1	-1	-1	-1.0	-1.65	-3.25
μουλάρι	NOUN	NOUN	NOUN	NOUN		3.25	3.75	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.59	-3.13
μούλικος	ADJ	ADJ	ADJ	ADJ		2.5	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.45	-2.83
μούλος	NOUN	NOUN	NOUN	NOUN		3.25	3.5	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.57	-3.08
μουνί	NOUN	NOUN	NOUN	NOUN		4.0	4.5	1.0	1.5	1.0	2.5	-1	-0.5	-1	-1	-0.88	-1.5	-2.93
μουνί	NOUN	NOUN	NOUN	NOUN		3.67	4.67	1.0	1.67	1.0	2.0	0	-0.5	-1	-1	-0.62	-1.22	-2.34
μουνόπανο	NOUN	NOUN	NOUN	NOUN		4.5	4.25	1.0	1.0	1.0	2.5	-1	-1	-1	-1	-1.0	-1.75	-3.47
μουνόπανο	NOUN	NOUN	NOUN	NOUN		4.33	4.0	1.0	1.0	1.0	2.0	0	-1	-1	-1	-0.75	-1.48	-2.89
μουνόψειρα	NOUN	NOUN	NOUN	NOUN		4.25	4.0	1.0	1.0	1.0	2.75	-1	-1	-1	-1	-1.0	-1.69	-3.34
μούργος	NOUN	NOUN	NOUN	NOUN		2.0	2.25	1.0	1.25	1.0	2.0	-1	-1	-1	-0.5	-0.88	-1.16	-2.21
μούρη	NOUN	NOUN	NOUN	NOUN		1.67	3.0	1.0	1.0	1.0	2.33	-1	0	-1	1	-0.25	-0.6	-1.01
μουσικάντης	NOUN	NOUN	NOUN	NOUN		1.33	2.67	1.0	1.0	1.0	2.33	-1	0	-1	-1	-0.75	-1.03	-1.93
μούσμουλο	NOUN	NOUN	NOUN	NOUN		1.67	3.67	1.0	1.0	1.0	1.67	-1	-1	-1	0	-0.75	-1.2	-2.29
μουστόγρια	NOUN	NOUN	NOUN	NOUN		2.25	3.75	1.5	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.56	-3.06
μούτρο	NOUN	NOUN	NOUN	NOUN		1.75	2.5	1.5	1.75	1.0	2.5	-0.5	-1	-1	1	-0.38	-0.58	-0.97
μουτρωμένος -η -ο	PART	PART	PART	PART		2.75	2.0	1.0	1.0	2.0	1.5	-1	-1	-1	-1	-1.0	-1.5	-2.93
μουτρώνω	VERB	VERB	VERB	VERB		2.75	2.0	1.0	1.0	2.0	1.75	-1	-1	-1	-1	-1.0	-1.49	-2.91
μοφρονιός	NOUN	NOUN	NOUN	NOUN		1.33	2.67	1.0	1.33	1.0	2.33	-1	0	-1	-0.5	-0.62	-0.84	-1.53
μπα	INTJ	INTJ	INTJ	INTJ		2.0	3.0	1.0	1.0	2.0	2.5	-1	-0.5	-1	-0.5	-0.75	-1.23	-2.36
μπαγασάκος	NOUN	NOUN	NOUN	NOUN		1.25	2.0	1.0	1.5	1.0	2.0	-1	1	-1	-0.5	-0.38	-0.51	-0.82
μπαγασάκος	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.0	1.67	1.0	1.33	0	1	-1	0	0.0	-0.1	0.05
μπαγάσας	NOUN	NOUN	NOUN	NOUN		1.5	2.25	1.0	1.5	1.0	1.75	-1	1	-1	-0.5	-0.38	-0.57	-0.95
μπαγάσας	NOUN	NOUN	NOUN	NOUN		1.33	2.0	1.0	1.67	1.0	1.33	0	1	-1	0	0.0	-0.13	-0.01
μπαγάσικος	ADJ	ADJ	ADJ	ADJ		1.25	2.0	1.0	1.5	1.0	2.0	-1	1	-1	-0.5	-0.38	-0.51	-0.82
μπαγκατέλα	NOUN	NOUN	NOUN	NOUN		1.75	2.75	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.34	-2.59
μπάζο	NOUN	NOUN	NOUN	NOUN		2.75	3.75	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.54	-3.02
μπάζω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μπαϊλντίζω	VERB	VERB	VERB	VERB		2.67	3.33	1.0	1.0	1.67	2.67	-1	0	-1	-1	-0.75	-1.28	-2.46
μπαινάκης βγαινάκης	NOUN	NOUN	NOUN	N/A		2.5	2.25	1.0	1.0	1.0	2.0	-1	-1	-1	-0.5	-0.88	-1.25	-2.4
μπακαλοτέφτερο	NOUN	NOUN	NOUN	NOUN		1.0	2.75	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.29	-2.49
μπακαλόχαρτο	NOUN	NOUN	NOUN	NOUN		1.0	2.75	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.29	-2.49
μπακατέλα	NOUN	NOUN	NOUN	NOUN		2.0	2.75	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.36	-2.63
μπαλαντέρ	NOUN	NOUN	NOUN	NOUN		1.33	2.33	1.0	1.67	1.0	2.67	-1	-1	1	0	-0.25	-0.35	-0.48
μπαλάντζας	NOUN	NOUN	NOUN	NOUN		2.0	2.75	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
μπάμιας	NOUN	NOUN	NOUN	NOUN		2.5	3.0	1.0	1.0	1.0	2.5	-1	-1	-1	-1	-1.0	-1.43	-2.78
μπαμπαλής	NOUN	NOUN	NOUN	NOUN		2.0	2.75	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
μπαμπόγερος	NOUN	NOUN	NOUN	NOUN		2.0	3.0	1.25	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.43	-2.78
μπαμπόγρια	NOUN	NOUN	NOUN	NOUN		2.0	3.0	1.25	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.43	-2.78
μπάμπω	NOUN	NOUN	NOUN	NOUN		2.0	3.25	1.25	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.45	-2.83
μπανάκι	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.67	1.0	3.0	1	0	1	1	0.75	1.23	2.89
μπανανία	NOUN	NOUN	NOUN	NOUN		2.0	2.67	1.33	1.0	1.33	2.33	-1	0	-1	-1	-0.75	-1.17	-2.23
μπασκίνας	NOUN	NOUN	NOUN	NOUN		2.75	3.5	1.5	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.59	-3.13
μπασκλάς	ADJ	ADJ	ADJ	NOUN		1.75	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
μπασκλασαρία	NOUN	NOUN	NOUN	NOUN		1.75	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
μπαστάρδικος	ADJ	ADJ	ADJ	ADJ		2.75	3.75	1.0	1.0	1.0	2.25	-1	0	-1	-1	-0.75	-1.29	-2.49
μπάσταρδος	NOUN	ADJ	NOUN	NOUN		3.25	3.75	1.0	1.0	1.0	2.25	-1	0	-1	-1	-0.75	-1.34	-2.59
μπαστουνόβλαχος	NOUN	NOUN	NOUN	NOUN		3.0	3.5	1.0	1.0	1.0	2.0	-1	0	-1	-1	-0.75	-1.3	-2.51
μπατσαρία	NOUN	NOUN	NOUN	NOUN		3.0	3.25	1.25	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.56	-3.06
μπατσικό	NOUN	NOUN	NOUN	NOUN		2.5	3.25	1.5	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.54	-3.02
μπατσίνα	NOUN	NOUN	NOUN	NOUN		2.75	3.25	1.5	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.56	-3.06
μπάτσος	NOUN	NOUN	NOUN	NOUN		2.75	3.25	1.5	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.56	-3.06
μπάτσος	NOUN	NOUN	NOUN	NOUN		2.33	3.0	1.67	1.0	1.0	1.67	0	-1	-1	-1	-0.75	-1.27	-2.44
μπαφιάζω	VERB	VERB	VERB	VERB		2.0	3.5	1.25	1.0	1.5	2.0	-1	-1	-1	-1	-1.0	-1.52	-2.98
μπαφιασμένος -η -ο	PART	PART	PART	PART		2.0	3.5	1.25	1.0	1.5	2.0	-1	-1	-1	-1	-1.0	-1.52	-2.98
μπεκρής	NOUN	NOUN	NOUN	NOUN		2.5	3.0	1.5	1.0	1.0	2.5	-1	-1	-1	-1	-1.0	-1.48	-2.89
μπεκροκανάτα	NOUN	NOUN	NOUN	NOUN		2.75	3.5	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.51	-2.95
μπεκρολογώ	VERB	VERB	VERB	VERB		2.0	2.75	1.0	1.0	1.0	2.25	-1	-1	-1	-0.5	-0.88	-1.24	-2.38
μπεκροπίνω	VERB	VERB	VERB	VERB		2.0	3.0	1.0	1.25	1.0	2.25	-1	-1	-1	-1	-1.0	-1.34	-2.59
μπεκρουλιάζω	VERB	VERB	VERB	VERB		2.0	3.0	1.0	1.25	1.0	2.25	-1	-1	-1	-1	-1.0	-1.34	-2.59
μπεκρούλιακας	NOUN	NOUN	NOUN	NOUN		2.75	3.5	1.25	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.54	-3.02
μπερδεύω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μπλαζέ	ADJ	ADJ	ADJ	NOUN		2.33	3.0	1.0	1.0	1.33	2.33	-1	0	-1	-1	-0.75	-1.2	-2.29
μπλοκάρω	VERB	VERB	VERB	VERB		1.0	1.33	1.0	1.0	1.33	1.67	-1	-1	-1	0	-0.75	-0.93	-1.72
μπούλης	NOUN	NOUN	NOUN	NOUN		2.0	2.75	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.39	-2.7
μπουμπουκάκι	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.33	1.0	3.0	1	0	1	1	0.75	1.17	2.76
μπουμπούκι	NOUN	NOUN	NOUN	NOUN		1.0	1.25	1.0	3.0	1.0	2.25	1	-1	1	1	0.5	0.79	1.95
μπουντρούμι	NOUN	NOUN	NOUN	NOUN		1.67	2.67	1.33	1.0	1.67	2.33	-1	0	-1	-1	-0.75	-1.17	-2.23
μπουρδελιάρης	NOUN	NOUN	NOUN	NOUN		2.75	3.75	1.25	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.57	-3.08
μπουρδέλο	NOUN	NOUN	NOUN	NOUN		4.0	4.33	1.0	1.0	1.0	3.67	-1	0	-1	-1	-0.75	-1.4	-2.72
μπουρζουαζία	NOUN	NOUN	NOUN	NOUN		2.0	2.75	1.0	1.0	1.0	1.5	-1	-1	-1	-1	-1.0	-1.4	-2.72
μπουρζουάς	NOUN	NOUN	NOUN	NOUN		2.25	2.75	1.0	1.0	1.0	1.5	-1	-1	-1	-1	-1.0	-1.43	-2.78
μπουρτζόβλαχος	NOUN	NOUN	NOUN	NOUN		3.25	3.5	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.59	-3.13
μπουχτίζω	VERB	VERB	VERB	VERB		2.75	3.75	1.0	1.0	1.25	2.0	-1	-1	-1	-1	-1.0	-1.58	-3.1
μπράβο	INTJ	INTJ	INTJ	INTJ		2.0	1.0	1.0	4.0	1.0	3.0	0.5	1	0.5	1	0.75	1.2	2.83
μπράβος	NOUN	NOUN	NOUN	NOUN		2.0	2.67	1.67	1.0	1.0	2.33	-1	-1	-1	0	-0.75	-1.17	-2.23
μυϊκός -ή -ό	ADJ	ADJ	ADJ	ADJ		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μυξοκλαίω	VERB	VERB	VERB	VERB		1.67	3.67	2.0	1.0	2.0	2.0	-1	0	-1	-1	-0.75	-1.38	-2.68
μυριάκριβος	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	2.5	1.0	2.75	1	0	1	1	0.75	0.99	2.38
μυρμηγκιάζω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
μυρωδιά	NOUN	NOUN	NOUN	NOUN		1.0	3.0	1.0	3.5	1.0	3.5	0	0	0	0	0.0	0.28	0.86
μυστικοσύμβουλος	NOUN	NOUN	NOUN	NOUN		1.0	3.0	1.0	1.0	1.0	3.0	-1	0	-1	0	-0.5	-0.75	-1.33
μωρέ	INTJ	INTJ	INTJ	INTJ		2.5	3.0	1.0	1.5	1.0	3.25	-1	-0.5	-1	-0.5	-0.75	-1.04	-1.95
μωρή	INTJ	INTJ	INTJ	INTJ		4.25	3.75	1.0	1.0	1.0	2.75	-1	-1	-1	-1	-1.0	-1.66	-3.27
να 	OTHER	N/A	OTHER	CONJ		4.33	4.0	2.67	2.0	1.0	4.33	-1	-0.5	-1	0	-0.62	-1.2	-2.29
ναός	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.0	2.0	1.0	3.5	-0.5	0	-1	0	-0.38	-0.3	-0.37
νάρκωση	NOUN	NOUN	NOUN	NOUN		1.0	2.0	2.0	1.0	1.0	1.5	-1	0	-1	0	-0.5	-0.82	-1.48
ναυτία	NOUN	NOUN	NOUN	NOUN		1.0	3.75	1.75	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.45	-2.83
ναυτόπουλο	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.0	1.0	1.0	1.67	-1	0	-1	-0.5	-0.62	-0.84	-1.53
νεκροκεφαλή	NOUN	NOUN	NOUN	NOUN		2.0	3.5	3.5	1.0	1.0	3.0	-1	0	-1	0	-0.5	-1.15	-2.19
νεκρώνω	VERB	VERB	VERB	VERB		1.0	2.0	4.33	1.0	1.67	3.0	-1	-1	-1	0	-0.75	-1.3	-2.51
νέκρωση	NOUN	NOUN	NOUN	NOUN		1.0	2.5	4.0	1.0	1.0	3.5	-1	0	-1	0	-0.5	-0.97	-1.8
νεροκουβαλητής	NOUN	NOUN	NOUN	NOUN		1.67	2.67	1.0	1.0	1.33	2.0	-1	-1	-1	0	-0.75	-1.12	-2.12
νερόπλυμα	NOUN	NOUN	NOUN	NOUN		1.5	3.0	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.34	-2.59
νεροχύτης	NOUN	NOUN	NOUN	NOUN		4.0	3.0	1.0	1.0	1.0	2.0	-1	0	0	0	-0.25	-0.85	-1.55
νευρικός -ή / -ιά -ό	ADJ	ADJ	ADJ	ADJ		2.5	1.25	1.75	1.0	1.25	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
νεφρό	NOUN	NOUN	NOUN	NOUN		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
νηφάλιος -α -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	2.5	1.0	2.0	1	1	1	1	1.0	1.2	2.83
νιάνιαρο	NOUN	NOUN	NOUN	NOUN		2.0	2.67	1.0	1.0	1.0	2.67	-1	0	-1	-1	-0.75	-1.08	-2.04
νιαουρίζω	VERB	VERB	VERB	ADJ		1.75	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
νιαούρισμα	NOUN	NOUN	NOUN	NOUN		1.75	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
νιάτο	NOUN	NOUN	NOUN	NOUN		1.0	1.33	1.0	2.67	1.0	2.67	1	0	-1	1	0.25	0.48	1.29
νιώθω	VERB	VERB	VERB	ADJ		1.0	1.5	1.0	2.0	1.0	2.0	0	0	0	0	0.0	0.05	0.37
νόηση	NOUN	NOUN	NOUN	NOUN		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
νοησιαρχία	NOUN	NOUN	NOUN	NOUN		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
